"Id","Name","Code","ShortName","ShortNameLatin","Depots","IsCity","CityCode","IsSalePoint"
"100","КАРСАКПАЙ","2700091","КАРСАКПАЙ","KARSAKPAI",NULL,False,"27",False
"101","ТОБОЛ1","2700092","ТОБОЛ1","TOBOL1",NULL,False,"27",False
"102","РАЗ'ЕЗД НР 3","2700093","РЗД НР 3","RZD NR 3",NULL,False,"27",False
"103","ТОГУС","2700094","ТОГУС","TOGUS",NULL,False,"27",False
"104","РАЗ'ЕЗД НР 4","2700095","РЗД НР 4","RZD NR 4",NULL,False,"27",False
"105","ЛЕНГЕР","2700096","ЛЕНГЕР","LENGER",NULL,False,"27",False
"106","КОЙКРЫККАН","2700097","КОЙКРЫККАН","KOIKRYKKAN",NULL,False,"27",False
"107","БАЙКОНЫР","2700098","БАЙКОНЫР","BAIKONYR",NULL,False,"27",False
"108","РАЗ'ЕЗД НР 5","2700099","РЗД НР 5","RZD NR 5",NULL,False,"27",False
"109","КОКТЕРЕК","2700100","КОКТЕРЕК","KOKTEREK",NULL,False,"27",False
"110","РАЗ'ЕЗД N12","2700101","РЗД N12","RZD N12",NULL,False,"27",False
"111","АКТОГАЙ ВОСТОЧНЫЙ","2700102","АКТОГАЙ В","AKTOGAI V",NULL,False,"27",False
"112","РАЗ'ЕЗД N37","2700103","РЗД N37","RZD N37",NULL,False,"27",False
"113","РАЗ'ЕЗД 6 КМ","2700104","РЗД 6 КМ","RZD 6 KM",NULL,False,"27",False
"114","КУРМАНГАЗЫ","2700105","КУРМАНГАЗЫ","KURMANGAZY",NULL,False,"27",False
"115","РАЗ'ЕЗД N14","2700106","РЗД N14","RZD N14",NULL,False,"27",False
"116","ОСТ.ПУНКТ 174 КМ","2700107","ОП 174 КМ","OP 174 KM",NULL,False,"27",False
"117","ТАЛДЫКОРГАН","2700108","ТАЛДЫКОРГАН","TALDYKORGAN",NULL,False,"27",False
"118","ТАМДЫ","2700109","ТАМДЫ","TAMDY",NULL,False,"27",False
"119","КЗЫЛ-АСКЕР","2700111","КЗЫЛ-АСКЕР","KZYL-ASKER",NULL,False,"27",False
"120","АКЖИГИТ","2700112","АКЖИГИТ","AKJIGIT",NULL,False,"27",False
"121","ОАЗИС","2700113","ОАЗИС","OAZIS",NULL,False,"27",False
"122","ЖИЛГА","2700114","ЖИЛГА","ZHILGA",NULL,False,"27",False
"123","ДАРБАЗА","2700115","ДАРБАЗА","DARBAZA",NULL,False,"27",False
"124","САРЫАГАШ","2700116","САРЫАГАШ","SARYAGASH",NULL,False,"27",False
"125","МАКТААРАЛ","2700117","МАКТААРАЛ","MAKTAARAL",NULL,False,"27",False
"126","ЖЕТЫСАЙ","2700118","ЖЕТЫСАЙ","ZHETYSAI",NULL,False,"27",False
"127","РАЗ'ЕЗД НР 6","2700119","РЗД НР 6","RZD NR 6",NULL,False,"27",False
"128","КОКТАЛ","2700120","КОКТАЛ","KOKTAL",NULL,False,"27",False
"129","РАЗ'ЕЗД N 27","2700121","РЗД N27","RZD N27",NULL,False,"27",False
"130","РАЗ'ЕЗД НР 7","2700122","РЗД НР 7","RZD NR 7",NULL,False,"27",False
"131","РАЗ'ЕЗД N 33","2700124","РЗД N33","RZD N33",NULL,False,"27",False
"132","РАЗ'ЕЗД НР 8","2700125","РЗД НР 8","RZD NR 8",NULL,False,"27",False
"133","КОСКОЛЬ","2700126","КОСКОЛЬ","KOSKOL",NULL,False,"27",False
"134","РАЗ'ЕЗД 10","2700127","РЗД 10","RZD 10",NULL,False,"27",False
"135","РАЗ'ЕЗД N 47","2700128","РЗД N47","RZD N47",NULL,False,"27",False
"136","РАЗ'ЕЗД 11","2700129","РЗД 11","RZD 11",NULL,False,"27",False
"137","РАЗ'ЕЗД 12","2700130","РЗД 12","RZD 12",NULL,False,"27",False
"138","МЫНБАЛА","2700131","МЫНБАЛА","MYNBALA",NULL,False,"27",False
"139","РАЗ'ЕЗД 13","2700132","РЗД 13","RZD 13",NULL,False,"27",False
